	NIntermedia8761	NcraNC12	Ndis8579	Nhispaniola8817	Nmetzenbergii10397	NsitophilaW1434	Ntet10752L9	Ntet2503L8	Ntet2508L6	Ntet9045L7
OG0000985	maker-unitig_3|quiver-augustus-gene-0.969-mRNA-1	XP_958351.2	jgi|Neudi1|127964|estExt_fgenesh2_pg.C_100001	maker-scaffold199-augustus-gene-0.227-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1802-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1404-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1296-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1436-mRNA-1	XP_009851723.1	maker-9045pb_lg2-augustus-gene-3.1556-mRNA-1
OG0000990	maker-unitig_3|quiver-augustus-gene-0.1046-mRNA-1	XP_963220.1	jgi|Neudi1|169708|estExt_fgenesh3_kg.C_230016	augustus-scaffold199-processed-gene-0.60-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1674-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1302-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1208-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1335-mRNA-1	XP_009851703.1	maker-9045pb_lg2-augustus-gene-3.1444-mRNA-1
OG0000991	augustus-unitig_3|quiver-processed-gene-0.237-mRNA-1	XP_963209.1	jgi|Neudi1|159186|estExt_fgenesh3_pm.C_230010	augustus-scaffold199-processed-gene-0.48-mRNA-1	augustus-10397pb_lg2-processed-gene-3.191-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.145-mRNA-1	augustus-10752pb_lg2-processed-gene-3.143-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.152-mRNA-1	XP_009851682.1	augustus-9045pb_lg2-processed-gene-3.161-mRNA-1
OG0000993	augustus-unitig_3|quiver-processed-gene-0.253-mRNA-1	XP_958196.1	jgi|Neudi1|159208|estExt_fgenesh3_pm.C_230034	snap_masked-scaffold199-processed-gene-0.174-mRNA-1	augustus-10397pb_lg2-processed-gene-3.175-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.129-mRNA-1	augustus-10752pb_lg2-processed-gene-3.127-mRNA-1	snap_masked-2503pb_lg2.2-processed-gene-1.733-mRNA-1	XP_009851710.1	augustus-9045pb_lg2-processed-gene-3.145-mRNA-1
OG0000999	snap_masked-unitig_3|quiver-processed-gene-0.729-mRNA-1	XP_958199.1	jgi|Neudi1|129703|estExt_fgenesh2_pg.C_230036	snap_masked-scaffold199-processed-gene-0.176-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1669-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1501-mRNA-1	maker-10752pb_lg2-snap-gene-3.1402-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1330-mRNA-1	XP_009851713.1	maker-9045pb_lg2-snap-gene-3.1668-mRNA-1
OG0001002	augustus-unitig_3|quiver-processed-gene-0.263-mRNA-1	XP_958359.1	jgi|Neudi1|83533|estExt_Genewise1.C_100021	augustus-scaffold199-processed-gene-0.74-mRNA-1	augustus-10397pb_lg2-processed-gene-3.164-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.119-mRNA-1	augustus-10752pb_lg2-processed-gene-3.117-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.126-mRNA-1	XP_009851729.1	augustus-9045pb_lg2-processed-gene-3.135-mRNA-1
OG0001005	augustus-unitig_3|quiver-processed-gene-0.262-mRNA-1	XP_958358.1	jgi|Neudi1|101907|estExt_Genewise1Plus.C_100019	augustus-scaffold199-processed-gene-0.73-mRNA-1	augustus-10397pb_lg2-processed-gene-3.165-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.120-mRNA-1	augustus-10752pb_lg2-processed-gene-3.118-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.127-mRNA-1	XP_009851728.1	augustus-9045pb_lg2-processed-gene-3.136-mRNA-1
OG0001010	augustus-unitig_3|quiver-processed-gene-0.244-mRNA-1	XP_963229.1	jgi|Neudi1|106211|estExt_Genewise1Plus.C_230045	augustus-scaffold199-processed-gene-0.55-mRNA-1	augustus-10397pb_lg2-processed-gene-3.184-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.138-mRNA-1	augustus-10752pb_lg2-processed-gene-3.136-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.145-mRNA-1	XP_009851693.1	augustus-9045pb_lg2-processed-gene-3.154-mRNA-1
OG0001014	maker-unitig_3|quiver-augustus-gene-0.1048-mRNA-1	XP_963216.1	jgi|Neudi1|106238|estExt_Genewise1Plus.C_230072	maker-scaffold199-augustus-gene-0.243-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1671-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1299-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1205-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1332-mRNA-1	XP_009851707.1	maker-9045pb_lg2-augustus-gene-3.1441-mRNA-1
OG0001015	maker-unitig_3|quiver-augustus-gene-0.1047-mRNA-1	XP_963218.1	jgi|Neudi1|106234|estExt_Genewise1Plus.C_230068	maker-scaffold199-augustus-gene-0.242-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1672-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1300-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1206-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1333-mRNA-1	XP_009851705.1	maker-9045pb_lg2-augustus-gene-3.1442-mRNA-1
OG0001018	maker-unitig_3|quiver-augustus-gene-0.1037-mRNA-1	XP_963205.1	jgi|Neudi1|159189|estExt_fgenesh3_pm.C_230014	maker-scaffold199-augustus-gene-0.233-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1682-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1311-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1216-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1343-mRNA-1	XP_009851686.1	maker-9045pb_lg2-augustus-gene-3.1451-mRNA-1
OG0001029	maker-unitig_3|quiver-augustus-gene-0.1053-mRNA-1	XP_958354.1	jgi|Neudi1|83518|estExt_Genewise1.C_100004	maker-scaffold199-augustus-gene-0.248-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1665-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1293-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1199-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1327-mRNA-1	XP_009851724.1	maker-9045pb_lg2-augustus-gene-3.1435-mRNA-1
OG0001033	maker-unitig_3|quiver-augustus-gene-0.1035-mRNA-1	XP_963210.3	jgi|Neudi1|21781|scaffold_23-snap.10.1	maker-scaffold199-augustus-gene-0.231-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1684-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1518-mRNA-1	maker-10752pb_lg2-snap-gene-3.1418-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1345-mRNA-1	XP_009851681.1	maker-9045pb_lg2-augustus-gene-3.1453-mRNA-1
OG0001036	snap_masked-unitig_3|quiver-processed-gene-0.735-mRNA-1	XP_958352.1	jgi|Neudi1|83517|estExt_Genewise1.C_100003	augustus-scaffold199-processed-gene-0.70-mRNA-1	augustus-10397pb_lg2-processed-gene-3.169-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.123-mRNA-1	augustus-10752pb_lg2-processed-gene-3.121-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.130-mRNA-1	XP_009851538.1	augustus-9045pb_lg2-processed-gene-3.139-mRNA-1
OG0002927	maker-unitig_6|quiver-augustus-gene-2.1651-mRNA-1	XP_960058.1	jgi|Neudi1|157180|estExt_fgenesh3_pm.C_90078	maker-scaffold2164-augustus-gene-0.25-mRNA-1	maker-10397pb_lg7-augustus-gene-3.1814-mRNA-1	maker-W1434pb_lg7-augustus-gene-3.1594-mRNA-1	maker-10752pb_lg7-augustus-gene-2.2006-mRNA-1	maker-2503pb_lg7-augustus-gene-2.2062-mRNA-1	XP_009853681.1	maker-9045pb_lg7-augustus-gene-2.2098-mRNA-1
OG0002975	augustus-unitig_6|quiver-processed-gene-2.513-mRNA-1	XP_960061.3	jgi|Neudi1|127697|estExt_fgenesh2_pg.C_90083	maker-scaffold2164-augustus-gene-0.23-mRNA-1	augustus-10397pb_lg7-processed-gene-3.171-mRNA-1	snap_masked-W1434pb_lg7-processed-gene-3.800-mRNA-1	augustus-10752pb_lg7-processed-gene-2.619-mRNA-1	augustus-2503pb_lg7-processed-gene-2.634-mRNA-1	XP_009853683.1	augustus-9045pb_lg7-processed-gene-2.645-mRNA-1
OG0003217	maker-unitig_2|quiver-augustus-gene-2.970-mRNA-1	XP_957734.1	jgi|Neudi1|78499|estExt_Genewise1.C_50815	maker-scaffold1878-augustus-gene-0.46-mRNA-1	maker-10397pb_lg3-augustus-gene-3.1024-mRNA-1	maker-W1434pb_lg3-augustus-gene-2.1203-mRNA-1	maker-10752pb_lg3-augustus-gene-2.1152-mRNA-1	maker-2503pb_lg3-augustus-gene-2.1158-mRNA-1	XP_009851041.1	maker-9045pb_lg3-augustus-gene-2.1099-mRNA-1
OG0003223	augustus-unitig_2|quiver-processed-gene-2.47-mRNA-1	XP_957736.1	jgi|Neudi1|166934|estExt_fgenesh3_kg.C_50201	augustus-scaffold1878-processed-gene-0.9-mRNA-1	augustus-10397pb_lg3-processed-gene-3.246-mRNA-1	augustus-W1434pb_lg3-processed-gene-2.354-mRNA-1	augustus-10752pb_lg3-processed-gene-2.341-mRNA-1	augustus-2503pb_lg3-processed-gene-2.342-mRNA-1	XP_009851043.1	augustus-9045pb_lg3-processed-gene-2.329-mRNA-1
OG0003241	snap_masked-unitig_2|quiver-processed-gene-2.490-mRNA-1	XP_957732.2	jgi|Neudi1|59707|e_gw1.5.1012.1	maker-scaffold1878-snap-gene-0.49-mRNA-1	maker-10397pb_lg3-augustus-gene-3.1022-mRNA-1	maker-W1434pb_lg3-augustus-gene-2.1201-mRNA-1	snap_masked-10752pb_lg3-processed-gene-2.838-mRNA-1	snap_masked-2503pb_lg3-processed-gene-2.842-mRNA-1	XP_009851039.1	snap_masked-9045pb_lg3-processed-gene-2.796-mRNA-1
OG0003279	maker-unitig_2|quiver-augustus-gene-2.1043-mRNA-1	XP_957740.1	jgi|Neudi1|96846|estExt_Genewise1Plus.C_50805	augustus-scaffold1878-processed-gene-0.2-mRNA-1	maker-10397pb_lg3-augustus-gene-3.952-mRNA-1	maker-W1434pb_lg3-augustus-gene-2.1113-mRNA-1	augustus-10752pb_lg3-processed-gene-2.118-mRNA-1	augustus-2503pb_lg3-processed-gene-3.13-mRNA-1	XP_009851047.1	augustus-9045pb_lg3-processed-gene-3.2-mRNA-1
OG0003284	augustus-unitig_2|quiver-processed-gene-2.259-mRNA-1	XP_957735.1	jgi|Neudi1|155402|estExt_fgenesh3_pm.C_50320	augustus-scaffold1878-processed-gene-0.1-mRNA-1	augustus-10397pb_lg3-processed-gene-3.42-mRNA-1	augustus-W1434pb_lg3-processed-gene-2.118-mRNA-1	augustus-10752pb_lg3-processed-gene-2.117-mRNA-1	augustus-2503pb_lg3-processed-gene-2.119-mRNA-1	XP_009851042.1	augustus-9045pb_lg3-processed-gene-2.118-mRNA-1
OG0003416	maker-unitig_2|quiver-augustus-gene-4.1201-mRNA-1	XP_962950.2	jgi|Neudi1|169617|estExt_fgenesh3_kg.C_200008	maker-scaffold3533-augustus-gene-0.53-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1113-mRNA-1	maker-W1434pb_lg3-augustus-gene-0.870-mRNA-1	maker-10752pb_lg3-augustus-gene-0.957-mRNA-1	maker-2503pb_lg3-augustus-gene-0.883-mRNA-1	XP_009850517.1	maker-9045pb_lg3-augustus-gene-0.915-mRNA-1
OG0003418	augustus-unitig_2|quiver-processed-gene-4.32-mRNA-1	XP_955951.1	jgi|Neudi1|158970|estExt_fgenesh3_pm.C_190013	augustus-scaffold2803-processed-gene-0.6-mRNA-1	augustus-10397pb_lg3-processed-gene-1.298-mRNA-1	augustus-W1434pb_lg3-processed-gene-1.251-mRNA-1	augustus-10752pb_lg3-processed-gene-1.253-mRNA-1	augustus-2503pb_lg3-processed-gene-1.266-mRNA-1	XP_009850575.1	augustus-9045pb_lg3-processed-gene-1.253-mRNA-1
OG0003422	augustus-unitig_2|quiver-processed-gene-4.29-mRNA-1	XP_957306.1	jgi|Neudi1|158975|estExt_fgenesh3_pm.C_190018	augustus-scaffold2803-processed-gene-0.4-mRNA-1	augustus-10397pb_lg3-processed-gene-1.300-mRNA-1	augustus-W1434pb_lg3-processed-gene-1.253-mRNA-1	augustus-10752pb_lg3-processed-gene-1.255-mRNA-1	augustus-2503pb_lg3-processed-gene-1.268-mRNA-1	XP_009850579.1	augustus-9045pb_lg3-processed-gene-1.255-mRNA-1
OG0003436	maker-unitig_2|quiver-augustus-gene-4.1200-mRNA-1	XP_962952.1	jgi|Neudi1|105855|estExt_Genewise1Plus.C_200030	maker-scaffold3533-augustus-gene-0.52-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1114-mRNA-1	maker-W1434pb_lg3-augustus-gene-0.871-mRNA-1	maker-10752pb_lg3-augustus-gene-0.958-mRNA-1	maker-2503pb_lg3-augustus-gene-0.884-mRNA-1	XP_009850519.1	maker-9045pb_lg3-augustus-gene-0.916-mRNA-1
OG0003442	augustus-unitig_2|quiver-processed-gene-4.77-mRNA-1	XP_011394017.1	jgi|Neudi1|129334|estExt_fgenesh2_pg.C_170023	snap_masked-scaffold2455-processed-gene-0.5-mRNA-1	augustus-10397pb_lg3-processed-gene-0.211-mRNA-1	snap_masked-W1434pb_lg3-processed-gene-0.642-mRNA-1	snap_masked-10752pb_lg3-processed-gene-0.706-mRNA-1	snap_masked-2503pb_lg3-processed-gene-0.639-mRNA-1	XP_009850477.1	snap_masked-9045pb_lg3-processed-gene-0.679-mRNA-1
OG0003449	maker-unitig_2|quiver-augustus-gene-4.1177-mRNA-1	XP_955954.1	jgi|Neudi1|169569|estExt_fgenesh3_kg.C_190010	maker-scaffold2803-augustus-gene-0.70-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1048-mRNA-1	maker-W1434pb_lg3-augustus-gene-1.1087-mRNA-1	maker-10752pb_lg3-augustus-gene-1.1101-mRNA-1	maker-2503pb_lg3-augustus-gene-1.1110-mRNA-1	XP_009854864.1	maker-9045pb_lg3-augustus-gene-1.1109-mRNA-1
OG0003459	maker-unitig_2|quiver-snap-gene-4.1399-mRNA-1	XP_962946.3	jgi|Neudi1|87439|estExt_Genewise1.C_200015	maker-scaffold3533-snap-gene-0.66-mRNA-1	maker-10397pb_lg3-snap-gene-1.1314-mRNA-1	maker-W1434pb_lg3-snap-gene-0.1005-mRNA-1	maker-10752pb_lg3-snap-gene-0.1112-mRNA-1	maker-2503pb_lg3-snap-gene-0.1033-mRNA-1	XP_009850513.1	maker-9045pb_lg3-snap-gene-0.1073-mRNA-1
OG0003465	maker-unitig_2|quiver-snap-gene-4.1412-mRNA-1	XP_001728134.1	jgi|Neudi1|86957|estExt_Genewise1.C_170046	maker-scaffold2455-augustus-gene-0.8-mRNA-1	augustus-10397pb_lg3-processed-gene-0.212-mRNA-1	maker-W1434pb_lg3-snap-gene-0.993-mRNA-1	maker-10752pb_lg3-snap-gene-0.1101-mRNA-1	maker-2503pb_lg3-augustus-gene-0.873-mRNA-1	XP_009850478.1	maker-9045pb_lg3-snap-gene-0.1061-mRNA-1
OG0003487	augustus-unitig_2|quiver-processed-gene-4.280-mRNA-1	XP_957315.1	jgi|Neudi1|87274|estExt_Genewise1.C_190063	augustus-scaffold2803-processed-gene-0.1-mRNA-1	augustus-10397pb_lg3-processed-gene-1.60-mRNA-1	augustus-W1434pb_lg3-processed-gene-1.256-mRNA-1	augustus-10752pb_lg3-processed-gene-1.258-mRNA-1	augustus-2503pb_lg3-processed-gene-1.271-mRNA-1	XP_009850210.1	augustus-9045pb_lg3-processed-gene-1.258-mRNA-1
OG0003491	augustus-unitig_2|quiver-processed-gene-4.286-mRNA-1	XP_957308.1	jgi|Neudi1|169571|estExt_fgenesh3_kg.C_190012	augustus-scaffold2803-processed-gene-0.17-mRNA-1	augustus-10397pb_lg3-processed-gene-1.54-mRNA-1	augustus-W1434pb_lg3-processed-gene-1.28-mRNA-1	augustus-10752pb_lg3-processed-gene-1.25-mRNA-1	augustus-2503pb_lg3-processed-gene-1.33-mRNA-1	XP_009850581.1	augustus-9045pb_lg3-processed-gene-1.27-mRNA-1
OG0003492	augustus-unitig_2|quiver-processed-gene-4.329-mRNA-1	XP_962943.1	jgi|Neudi1|129542|estExt_fgenesh2_pg.C_200006	augustus-scaffold3533-processed-gene-0.14-mRNA-1	augustus-10397pb_lg3-processed-gene-1.12-mRNA-1	augustus-W1434pb_lg3-processed-gene-0.81-mRNA-1	augustus-10752pb_lg3-processed-gene-0.91-mRNA-1	augustus-2503pb_lg3-processed-gene-0.84-mRNA-1	XP_009850263.1	augustus-9045pb_lg3-processed-gene-0.90-mRNA-1
OG0003495	maker-unitig_2|quiver-augustus-gene-4.1257-mRNA-1	XP_955956.1	jgi|Neudi1|105658|estExt_Genewise1Plus.C_190044	maker-scaffold2803-augustus-gene-0.75-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1049-mRNA-1	augustus-W1434pb_lg3-processed-gene-1.27-mRNA-1	augustus-10752pb_lg3-processed-gene-1.24-mRNA-1	augustus-2503pb_lg3-processed-gene-1.32-mRNA-1	XP_009850578.1	augustus-9045pb_lg3-processed-gene-1.26-mRNA-1
OG0003496	augustus-unitig_2|quiver-processed-gene-4.327-mRNA-1	XP_962945.3	jgi|Neudi1|129543|estExt_fgenesh2_pg.C_200007	augustus-scaffold3533-processed-gene-0.12-mRNA-1	augustus-10397pb_lg3-processed-gene-1.14-mRNA-1	augustus-W1434pb_lg3-processed-gene-0.83-mRNA-1	maker-10752pb_lg3-snap-gene-0.1041-mRNA-1	maker-2503pb_lg3-snap-gene-0.958-mRNA-1	XP_009850512.1	maker-9045pb_lg3-snap-gene-0.997-mRNA-1
OG0003506	maker-unitig_2|quiver-augustus-gene-4.1290-mRNA-1	XP_962951.1	jgi|Neudi1|169618|estExt_fgenesh3_kg.C_200009	maker-scaffold3533-augustus-gene-0.58-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1018-mRNA-1	maker-W1434pb_lg3-augustus-gene-0.815-mRNA-1	maker-10752pb_lg3-augustus-gene-0.897-mRNA-1	maker-2503pb_lg3-augustus-gene-0.829-mRNA-1	XP_009850518.1	maker-9045pb_lg3-augustus-gene-0.859-mRNA-1
OG0003510	maker-unitig_2|quiver-snap-gene-4.1467-mRNA-1	XP_957310.3	jgi|Neudi1|87270|estExt_Genewise1.C_190057	maker-scaffold2803-augustus-gene-0.74-mRNA-1	maker-10397pb_lg3-snap-gene-1.1242-mRNA-1	maker-W1434pb_lg3-snap-gene-1.1185-mRNA-1	maker-10752pb_lg3-augustus-gene-1.1013-mRNA-1	maker-2503pb_lg3-augustus-gene-1.1020-mRNA-1	XP_009850583.1	maker-9045pb_lg3-augustus-gene-1.1018-mRNA-1
OG0003515	snap_masked-unitig_2|quiver-processed-gene-4.855-mRNA-1	XP_955955.1	jgi|Neudi1|169570|estExt_fgenesh3_kg.C_190011	maker-scaffold2803-augustus-gene-0.76-mRNA-1	maker-10397pb_lg3-augustus-gene-1.1140-mRNA-1	maker-W1434pb_lg3-augustus-gene-1.1000-mRNA-1	maker-10752pb_lg3-augustus-gene-1.1011-mRNA-1	maker-2503pb_lg3-augustus-gene-1.1018-mRNA-1	XP_009854863.1	maker-9045pb_lg3-augustus-gene-1.1016-mRNA-1
OG0003521	maker-unitig_2|quiver-snap-gene-4.1498-mRNA-1	XP_962955.3	jgi|Neudi1|129551|estExt_fgenesh2_pg.C_200015	maker-scaffold3533-augustus-gene-0.56-mRNA-1	maker-10397pb_lg3-snap-gene-1.1211-mRNA-1	maker-W1434pb_lg3-snap-gene-0.944-mRNA-1	maker-10752pb_lg3-augustus-gene-0.899-mRNA-1	maker-2503pb_lg3-augustus-gene-0.831-mRNA-1	XP_009850521.1	maker-9045pb_lg3-augustus-gene-0.861-mRNA-1
OG0003534	augustus-unitig_2|quiver-processed-gene-4.283-mRNA-1	XP_957313.1	jgi|Neudi1|114883|fgenesh2_pg.C_scaffold_19000024	maker-scaffold2803-snap-gene-0.84-mRNA-1	maker-10397pb_lg3-snap-gene-1.1244-mRNA-1	maker-W1434pb_lg3-snap-gene-1.1187-mRNA-1	maker-10752pb_lg3-snap-gene-1.1202-mRNA-1	maker-2503pb_lg3-snap-gene-1.1212-mRNA-1	XP_009850585.1	maker-9045pb_lg3-snap-gene-1.1213-mRNA-1
OG0004177	augustus-unitig_4|quiver-processed-gene-2.35-mRNA-1	XP_957657.3	jgi|Neudi1|98576|estExt_Genewise1Plus.C_60978	augustus-scaffold2698-processed-gene-0.8-mRNA-1	augustus-10397pb_lg6-processed-gene-2.260-mRNA-1	augustus-W1434pb_lg6-processed-gene-1.404-mRNA-1	augustus-10752pb_lg6-processed-gene-1.392-mRNA-1	augustus-2503pb_lg6-processed-gene-1.409-mRNA-1	XP_009854406.1	augustus-9045pb_lg6-processed-gene-1.402-mRNA-1
OG0004179	augustus-unitig_4|quiver-processed-gene-2.40-mRNA-1	XP_957664.1	jgi|Neudi1|167376|estExt_fgenesh3_kg.C_60241	augustus-scaffold2698-processed-gene-0.14-mRNA-1	augustus-10397pb_lg6-processed-gene-2.255-mRNA-1	augustus-W1434pb_lg6-processed-gene-1.398-mRNA-1	augustus-10752pb_lg6-processed-gene-1.386-mRNA-1	augustus-2503pb_lg6-processed-gene-1.403-mRNA-1	XP_009854397.1	augustus-9045pb_lg6-processed-gene-1.397-mRNA-1
