	NIntermedia8761	NcraNC12	Ndis8579	Nhispaniola8817	Nmetzenbergii10397	NsitophilaW1434	Ntet10752L9	Ntet2503L8	Ntet2508L6	Ntet9045L7
OG0000951	augustus-unitig_3|quiver-processed-gene-0.33-mRNA-1	XP_958349.1	jgi|Neudi1|21828|scaffold_23-snap.57.1	augustus-scaffold199-processed-gene-0.19-mRNA-1	augustus-10397pb_lg2-processed-gene-3.533-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.411-mRNA-1	augustus-10752pb_lg2-processed-gene-3.385-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.430-mRNA-1	XP_009851722.1	augustus-9045pb_lg2-processed-gene-3.448-mRNA-1
OG0000952	maker-unitig_3|quiver-augustus-gene-0.956-mRNA-1	XP_963215.1	jgi|Neudi1|115101|fgenesh2_pg.C_scaffold_23000004	maker-scaffold3378-augustus-gene-0.24-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1815-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1420-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1310-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1451-mRNA-1	XP_009851675.1	maker-9045pb_lg2-augustus-gene-3.1572-mRNA-1
OG0000953	augustus-unitig_3|quiver-processed-gene-0.57-mRNA-1	XP_963282.1	jgi|Neudi1|44187|gw1.10.738.1	augustus-scaffold213-processed-gene-0.2-mRNA-1	augustus-10397pb_lg2-processed-gene-3.133-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.87-mRNA-1	augustus-10752pb_lg2-processed-gene-3.79-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.95-mRNA-1	XP_009851784.1	augustus-9045pb_lg2-processed-gene-3.103-mRNA-1
OG0000954	augustus-unitig_3|quiver-processed-gene-0.96-mRNA-1	XP_963295.2	jgi|Neudi1|102125|estExt_Genewise1Plus.C_100258	augustus-scaffold465-processed-gene-0.0-mRNA-1	augustus-10397pb_lg2-processed-gene-3.476-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.349-mRNA-1	augustus-10752pb_lg2-processed-gene-3.320-mRNA-1	snap_masked-2503pb_lg2.2-processed-gene-1.976-mRNA-1	XP_009851851.1	snap_masked-9045pb_lg2-processed-gene-3.1053-mRNA-1
OG0000955	augustus-unitig_3|quiver-processed-gene-0.92-mRNA-1	XP_963567.1	jgi|Neudi1|18600|scaffold_10-snap.114.1	augustus-scaffold2759-processed-gene-0.19-mRNA-1	augustus-10397pb_lg2-processed-gene-3.481-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.353-mRNA-1	augustus-10752pb_lg2-processed-gene-3.324-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.364-mRNA-1	XP_009851840.1	augustus-9045pb_lg2-processed-gene-3.388-mRNA-1
OG0000956	augustus-unitig_3|quiver-processed-gene-0.45-mRNA-1	XP_958294.1	jgi|Neudi1|101945|estExt_Genewise1Plus.C_100060	augustus-C73652-processed-gene-0.0-mRNA-1	augustus-10397pb_lg2-processed-gene-3.523-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.399-mRNA-1	augustus-10752pb_lg2-processed-gene-3.373-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.416-mRNA-1	XP_009851750.1	augustus-9045pb_lg2-processed-gene-3.435-mRNA-1
OG0000957	maker-unitig_3|quiver-augustus-gene-0.978-mRNA-1	XP_963415.1	jgi|Neudi1|83576|estExt_Genewise1.C_100067	maker-scaffold213-snap-gene-0.246-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1796-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1395-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1289-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1648-mRNA-1	XP_009851753.1	maker-9045pb_lg2-snap-gene-3.1787-mRNA-1
OG0000958	maker-unitig_3|quiver-augustus-gene-0.998-mRNA-1	XP_963603.1	jgi|Neudi1|102015|estExt_Genewise1Plus.C_100138	maker-scaffold3440-augustus-gene-0.45-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1780-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1376-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1269-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1408-mRNA-1	XP_009851802.1	maker-9045pb_lg2-augustus-gene-3.1526-mRNA-1
OG0000959	maker-unitig_3|quiver-augustus-gene-0.959-mRNA-1	XP_963204.1	jgi|Neudi1|169697|estExt_fgenesh3_kg.C_230005	augustus-scaffold199-processed-gene-0.6-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1812-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1415-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1307-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1447-mRNA-1	XP_009851687.1	maker-9045pb_lg2-augustus-gene-3.1568-mRNA-1
OG0000960	augustus-unitig_3|quiver-processed-gene-0.30-mRNA-1	XP_001727985.1	jgi|Neudi1|129708|estExt_fgenesh2_pg.C_230042	maker-scaffold199-snap-gene-0.259-mRNA-1	augustus-10397pb_lg2-processed-gene-3.535-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.413-mRNA-1	augustus-10752pb_lg2-processed-gene-3.388-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.433-mRNA-1	XP_009851719.1	augustus-9045pb_lg2-processed-gene-3.451-mRNA-1
OG0000961	augustus-unitig_3|quiver-processed-gene-0.65-mRNA-1	XP_963185.2	jgi|Neudi1|168274|estExt_fgenesh3_kg.C_100050	augustus-scaffold213-processed-gene-0.9-mRNA-1	augustus-10397pb_lg2-processed-gene-3.142-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.95-mRNA-1	augustus-10752pb_lg2-processed-gene-3.87-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.104-mRNA-1	XP_009851770.1	augustus-9045pb_lg2-processed-gene-3.111-mRNA-1
OG0000962	maker-unitig_3|quiver-augustus-gene-0.1027-mRNA-1	XP_963436.1	jgi|Neudi1|102191|estExt_Genewise1Plus.C_100330	maker-scaffold3361-augustus-gene-0.77-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1751-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1350-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1238-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1377-mRNA-1	XP_009851896.1	maker-9045pb_lg2-augustus-gene-3.1497-mRNA-1
OG0000963	augustus-unitig_3|quiver-processed-gene-0.60-mRNA-1	XP_963288.1	jgi|Neudi1|168269|estExt_fgenesh3_kg.C_100045	snap_masked-scaffold213-processed-gene-0.89-mRNA-1	augustus-10397pb_lg2-processed-gene-3.137-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.90-mRNA-1	augustus-10752pb_lg2-processed-gene-3.82-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.99-mRNA-1	XP_009851778.1	augustus-9045pb_lg2-processed-gene-3.106-mRNA-1
OG0000964	augustus-unitig_3|quiver-processed-gene-0.18-mRNA-1	XP_963206.2	jgi|Neudi1|129681|estExt_fgenesh2_pg.C_230013	augustus-scaffold199-processed-gene-0.5-mRNA-1	augustus-10397pb_lg2-processed-gene-3.547-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1629-mRNA-1	augustus-10752pb_lg2-processed-gene-3.401-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.446-mRNA-1	XP_009851685.1	maker-9045pb_lg2-snap-gene-3.1809-mRNA-1
OG0000965	augustus-unitig_3|quiver-processed-gene-0.64-mRNA-1	XP_963184.2	jgi|Neudi1|102072|estExt_Genewise1Plus.C_100203	augustus-scaffold213-processed-gene-0.8-mRNA-1	augustus-10397pb_lg2-processed-gene-3.141-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.94-mRNA-1	augustus-10752pb_lg2-processed-gene-3.86-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.103-mRNA-1	XP_009851771.1	augustus-9045pb_lg2-processed-gene-3.110-mRNA-1
OG0000966	augustus-unitig_3|quiver-processed-gene-0.42-mRNA-1	XP_958922.1	jgi|Neudi1|101944|estExt_Genewise1Plus.C_100059	augustus-scaffold3513-processed-gene-0.12-mRNA-1	augustus-10397pb_lg2-processed-gene-3.525-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.402-mRNA-1	augustus-10752pb_lg2-processed-gene-3.377-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.419-mRNA-1	XP_009851746.1	augustus-9045pb_lg2-processed-gene-3.439-mRNA-1
OG0000967	augustus-unitig_3|quiver-processed-gene-0.23-mRNA-1	XP_963225.2	jgi|Neudi1|106219|estExt_Genewise1Plus.C_230053	augustus-scaffold199-processed-gene-0.10-mRNA-1	augustus-10397pb_lg2-processed-gene-3.542-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.421-mRNA-1	maker-10752pb_lg2-snap-gene-3.1514-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1665-mRNA-1	XP_009851697.1	maker-9045pb_lg2-snap-gene-3.1805-mRNA-1
OG0000968	maker-unitig_3|quiver-snap-gene-0.1159-mRNA-1	XP_963569.2	jgi|Neudi1|157530|estExt_fgenesh3_pm.C_100092	maker-scaffold2585-snap-gene-0.23-mRNA-1	maker-10397pb_lg2-snap-gene-3.2045-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1575-mRNA-1	maker-10752pb_lg2-snap-gene-3.1459-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1614-mRNA-1	XP_009851838.1	maker-9045pb_lg2-snap-gene-3.1751-mRNA-1
OG0000969	maker-unitig_3|quiver-augustus-gene-0.975-mRNA-1	XP_958926.1	jgi|Neudi1|168237|estExt_fgenesh3_kg.C_100013	maker-scaffold3513-augustus-gene-0.53-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1798-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1398-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1290-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1430-mRNA-1	XP_009851742.1	maker-9045pb_lg2-augustus-gene-3.1550-mRNA-1
OG0000970	maker-unitig_3|quiver-augustus-gene-0.962-mRNA-1	XP_963226.2	jgi|Neudi1|21797|scaffold_23-snap.26.1	maker-scaffold199-augustus-gene-0.220-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1809-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1411-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1303-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1444-mRNA-1	XP_009851696.1	maker-9045pb_lg2-augustus-gene-3.1565-mRNA-1
OG0000971	maker-unitig_3|quiver-augustus-gene-0.984-mRNA-1	XP_963399.3	jgi|Neudi1|101978|estExt_Genewise1Plus.C_100100	maker-scaffold213-augustus-gene-0.209-mRNA-1	maker-10397pb_lg2-snap-gene-3.2069-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1389-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1282-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1421-mRNA-1	XP_009851597.1	maker-9045pb_lg2-augustus-gene-3.1540-mRNA-1
OG0000972	maker-unitig_3|quiver-augustus-gene-0.986-mRNA-1	XP_963281.1	jgi|Neudi1|83665|estExt_Genewise1.C_100166	maker-scaffold213-augustus-gene-0.189-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1643-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1269-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1176-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1306-mRNA-1	XP_009851785.1	maker-9045pb_lg2-augustus-gene-3.1413-mRNA-1
OG0000973	maker-unitig_3|quiver-augustus-gene-0.982-mRNA-1	XP_963403.1	jgi|Neudi1|101966|estExt_Genewise1Plus.C_100088	maker-scaffold213-augustus-gene-0.211-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1792-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1391-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1284-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1423-mRNA-1	XP_009851763.1	maker-9045pb_lg2-augustus-gene-3.1542-mRNA-1
OG0000974	maker-unitig_3|quiver-augustus-gene-0.1004-mRNA-1	XP_963590.1	jgi|Neudi1|101997|estExt_Genewise1Plus.C_100120	augustus-scaffold2477-processed-gene-0.1-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1775-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1370-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1261-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1404-mRNA-1	XP_009851821.1	maker-9045pb_lg2-augustus-gene-3.1522-mRNA-1
OG0000975	augustus-unitig_3|quiver-processed-gene-0.98-mRNA-1	XP_963310.3	jgi|Neudi1|102132|estExt_Genewise1Plus.C_100270	maker-scaffold465-augustus-gene-0.65-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1762-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1360-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1249-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1391-mRNA-1	XP_009851601.1	maker-9045pb_lg2-augustus-gene-3.1510-mRNA-1
OG0000976	maker-unitig_3|quiver-augustus-gene-0.964-mRNA-1	XP_958194.1	jgi|Neudi1|169710|estExt_fgenesh3_kg.C_230018	maker-scaffold199-augustus-gene-0.222-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1807-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1409-mRNA-1	augustus-10752pb_lg2-processed-gene-3.393-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1441-mRNA-1	XP_009851708.1	maker-9045pb_lg2-augustus-gene-3.1562-mRNA-1
OG0000977	augustus-unitig_3|quiver-processed-gene-0.37-mRNA-1	XP_958937.1	jgi|Neudi1|157454|estExt_fgenesh3_pm.C_100009	maker-scaffold3564-augustus-gene-0.51-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1800-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1401-mRNA-1	maker-10752pb_lg2-snap-gene-3.1502-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1434-mRNA-1	XP_009851582.1	maker-9045pb_lg2-augustus-gene-3.1553-mRNA-1
OG0000978	maker-unitig_3|quiver-augustus-gene-0.988-mRNA-1	XP_963285.1	jgi|Neudi1|157509|estExt_fgenesh3_pm.C_100070	maker-scaffold213-augustus-gene-0.191-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1645-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1271-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1178-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1309-mRNA-1	XP_009851780.1	maker-9045pb_lg2-augustus-gene-3.1415-mRNA-1
OG0000979	maker-unitig_3|quiver-augustus-gene-0.987-mRNA-1	XP_963284.2	jgi|Neudi1|128031|estExt_fgenesh2_pg.C_100081	maker-scaffold213-augustus-gene-0.190-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1644-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1270-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1177-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1308-mRNA-1	XP_009851781.1	maker-9045pb_lg2-augustus-gene-3.1414-mRNA-1
OG0000980	maker-unitig_3|quiver-augustus-gene-0.1013-mRNA-1	XP_963297.1	jgi|Neudi1|163073|fgenesh3_kg.10__63__1411_1_CCSY	augustus-scaffold465-processed-gene-0.1-mRNA-1	augustus-10397pb_lg2-processed-gene-3.475-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1361-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1251-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1393-mRNA-1	XP_009851852.1	maker-9045pb_lg2-augustus-gene-3.1512-mRNA-1
OG0000981	maker-unitig_3|quiver-augustus-gene-0.1029-mRNA-1	XP_963165.1	jgi|Neudi1|168658|estExt_fgenesh3_kg.C_100434	maker-scaffold2618-augustus-gene-0.87-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1749-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1347-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1236-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1375-mRNA-1	XP_009851903.1	maker-9045pb_lg2-augustus-gene-3.1495-mRNA-1
OG0000982	maker-unitig_3|quiver-snap-gene-0.1123-mRNA-1	XP_958929.3	jgi|Neudi1|83563|estExt_Genewise1.C_100052	maker-scaffold3513-snap-gene-0.66-mRNA-1	maker-10397pb_lg2-snap-gene-3.2078-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1611-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1291-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1431-mRNA-1	XP_009851740.1	maker-9045pb_lg2-augustus-gene-3.1551-mRNA-1
OG0000983	augustus-unitig_3|quiver-processed-gene-0.20-mRNA-1	XP_963230.2	jgi|Neudi1|169702|estExt_fgenesh3_kg.C_230010	maker-scaffold199-snap-gene-0.251-mRNA-1	maker-10397pb_lg2-snap-gene-3.2092-mRNA-1	maker-W1434pb_lg2-snap-gene-3.1627-mRNA-1	maker-10752pb_lg2-snap-gene-3.1517-mRNA-1	maker-2503pb_lg2.2-snap-gene-1.1667-mRNA-1	XP_009851692.1	maker-9045pb_lg2-snap-gene-3.1807-mRNA-1
OG0000984	maker-unitig_3|quiver-augustus-gene-0.1028-mRNA-1	XP_001728061.1	jgi|Neudi1|102197|estExt_Genewise1Plus.C_100336	maker-scaffold2618-augustus-gene-0.88-mRNA-1	augustus-10397pb_lg2-processed-gene-3.456-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1348-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1237-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1376-mRNA-1	XP_009851900.1	maker-9045pb_lg2-augustus-gene-3.1496-mRNA-1
OG0000985	maker-unitig_3|quiver-augustus-gene-0.969-mRNA-1	XP_958351.2	jgi|Neudi1|127964|estExt_fgenesh2_pg.C_100001	maker-scaffold199-augustus-gene-0.227-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1802-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1404-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1296-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1436-mRNA-1	XP_009851723.1	maker-9045pb_lg2-augustus-gene-3.1556-mRNA-1
OG0000986	augustus-unitig_3|quiver-processed-gene-0.94-mRNA-1	XP_963563.1	jgi|Neudi1|141245|fgenesh3_pm.C_scaffold_10000099	augustus-scaffold2759-processed-gene-0.17-mRNA-1	snap_masked-10397pb_lg2-processed-gene-3.1273-mRNA-1	snap_masked-W1434pb_lg2-processed-gene-3.966-mRNA-1	augustus-10752pb_lg2-processed-gene-3.322-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.362-mRNA-1	XP_009851844.1	snap_masked-9045pb_lg2-processed-gene-3.1056-mRNA-1
OG0000987	augustus-unitig_3|quiver-processed-gene-0.113-mRNA-1	XP_963435.1	jgi|Neudi1|102188|estExt_Genewise1Plus.C_100327	augustus-scaffold3361-processed-gene-0.7-mRNA-1	augustus-10397pb_lg2-processed-gene-3.460-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.334-mRNA-1	augustus-10752pb_lg2-processed-gene-3.305-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.344-mRNA-1	XP_009851895.1	augustus-9045pb_lg2-processed-gene-3.368-mRNA-1
OG0000988	maker-unitig_3|quiver-augustus-gene-0.1026-mRNA-1	XP_963434.1	jgi|Neudi1|83810|estExt_Genewise1.C_100325	maker-scaffold3361-augustus-gene-0.76-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1752-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1351-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1239-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1378-mRNA-1	XP_009851894.1	maker-9045pb_lg2-augustus-gene-3.1498-mRNA-1
OG0000989	maker-unitig_3|quiver-augustus-gene-0.1095-mRNA-1	XP_963155.1	jgi|Neudi1|83780|estExt_Genewise1.C_100294	maker-scaffold3434-augustus-gene-0.12-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1624-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1250-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1149-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1280-mRNA-1	XP_009851876.1	maker-9045pb_lg2-augustus-gene-3.1386-mRNA-1
OG0000990	maker-unitig_3|quiver-augustus-gene-0.1046-mRNA-1	XP_963220.1	jgi|Neudi1|169708|estExt_fgenesh3_kg.C_230016	augustus-scaffold199-processed-gene-0.60-mRNA-1	maker-10397pb_lg2-augustus-gene-3.1674-mRNA-1	maker-W1434pb_lg2-augustus-gene-3.1302-mRNA-1	maker-10752pb_lg2-augustus-gene-3.1208-mRNA-1	maker-2503pb_lg2.2-augustus-gene-1.1335-mRNA-1	XP_009851703.1	maker-9045pb_lg2-augustus-gene-3.1444-mRNA-1
OG0000991	augustus-unitig_3|quiver-processed-gene-0.237-mRNA-1	XP_963209.1	jgi|Neudi1|159186|estExt_fgenesh3_pm.C_230010	augustus-scaffold199-processed-gene-0.48-mRNA-1	augustus-10397pb_lg2-processed-gene-3.191-mRNA-1	augustus-W1434pb_lg2-processed-gene-3.145-mRNA-1	augustus-10752pb_lg2-processed-gene-3.143-mRNA-1	augustus-2503pb_lg2.2-processed-gene-1.152-mRNA-1	XP_009851682.1	augustus-9045pb_lg2-processed-gene-3.161-mRNA-1
